condition_id,factor,x_variable,x_value,current_A,speed_cm_min,frequency_Hz,amplitude_mm,cooling_s,layers,source_basis
Cooling time_0.0,Cooling time,Interlayer cooling time (s),0.0,80.0,26.0,3.0,3.0,0.0,10,the cooling-time column is varied directly from the v12 layerwise table; the non-varied parameters use the common single-factor base setting
Cooling time_20.0,Cooling time,Interlayer cooling time (s),20.0,80.0,26.0,3.0,3.0,20.0,10,the cooling-time column is varied directly from the v12 layerwise table; the non-varied parameters use the common single-factor base setting
Cooling time_40.0,Cooling time,Interlayer cooling time (s),40.0,80.0,26.0,3.0,3.0,40.0,10,the cooling-time column is varied directly from the v12 layerwise table; the non-varied parameters use the common single-factor base setting
Cooling time_60.0,Cooling time,Interlayer cooling time (s),60.0,80.0,26.0,3.0,3.0,60.0,10,the cooling-time column is varied directly from the v12 layerwise table; the non-varied parameters use the common single-factor base setting
Cooling time_80.0,Cooling time,Interlayer cooling time (s),80.0,80.0,26.0,3.0,3.0,80.0,10,the cooling-time column is varied directly from the v12 layerwise table; the non-varied parameters use the common single-factor base setting
Weaving amplitude_1.0,Weaving amplitude,Weaving amplitude (mm),1.0,80.0,26.0,3.0,1.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_1.1249,Weaving amplitude,Weaving amplitude (mm),1.1249,80.0,26.0,3.0,1.1249,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_1.2501,Weaving amplitude,Weaving amplitude (mm),1.2501,80.0,26.0,3.0,1.2501,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_1.375,Weaving amplitude,Weaving amplitude (mm),1.375,80.0,26.0,3.0,1.375,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_1.4999,Weaving amplitude,Weaving amplitude (mm),1.4999,80.0,26.0,3.0,1.4999,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_1.6251,Weaving amplitude,Weaving amplitude (mm),1.6251,80.0,26.0,3.0,1.6251,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_1.75,Weaving amplitude,Weaving amplitude (mm),1.75,80.0,26.0,3.0,1.75,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_1.875,Weaving amplitude,Weaving amplitude (mm),1.875,80.0,26.0,3.0,1.875,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_2.0,Weaving amplitude,Weaving amplitude (mm),2.0,80.0,26.0,3.0,2.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_2.125,Weaving amplitude,Weaving amplitude (mm),2.125,80.0,26.0,3.0,2.125,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_2.25,Weaving amplitude,Weaving amplitude (mm),2.25,80.0,26.0,3.0,2.25,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_2.375,Weaving amplitude,Weaving amplitude (mm),2.375,80.0,26.0,3.0,2.375,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_2.5,Weaving amplitude,Weaving amplitude (mm),2.5,80.0,26.0,3.0,2.5,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_2.625,Weaving amplitude,Weaving amplitude (mm),2.625,80.0,26.0,3.0,2.625,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_2.75,Weaving amplitude,Weaving amplitude (mm),2.75,80.0,26.0,3.0,2.75,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_2.875,Weaving amplitude,Weaving amplitude (mm),2.875,80.0,26.0,3.0,2.875,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_3.0,Weaving amplitude,Weaving amplitude (mm),3.0,80.0,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_3.125,Weaving amplitude,Weaving amplitude (mm),3.125,80.0,26.0,3.0,3.125,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_3.25,Weaving amplitude,Weaving amplitude (mm),3.25,80.0,26.0,3.0,3.25,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_3.375,Weaving amplitude,Weaving amplitude (mm),3.375,80.0,26.0,3.0,3.375,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_3.5,Weaving amplitude,Weaving amplitude (mm),3.5,80.0,26.0,3.0,3.5,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_3.625,Weaving amplitude,Weaving amplitude (mm),3.625,80.0,26.0,3.0,3.625,60.0,10,60 s from the v12 layerwise figure protocol
