condition_id,group_id,current_A,speed_cm_min,frequency_Hz,amplitude_mm,cooling_s,layer,width_mm,height_mm,factor,x_variable,x_value,source_file,source_row
Welding current_60.0,60.000_26.000_3.000_3.000,60.0,26.0,3.0,3.0,60.0,1,8.8175,2.2497,Welding current,Welding current (A),60.0,layer_partial.csv,2
Welding current_61.6667,61.667_26.000_3.000_3.000,61.6667,26.0,3.0,3.0,60.0,1,8.8522,2.246,Welding current,Welding current (A),61.6667,layer_partial.csv,3
Welding current_63.3333,63.333_26.000_3.000_3.000,63.3333,26.0,3.0,3.0,60.0,1,8.8758,2.2685,Welding current,Welding current (A),63.3333,layer_partial.csv,4
Welding current_65.0,65.000_26.000_3.000_3.000,65.0,26.0,3.0,3.0,60.0,1,8.9142,2.2918,Welding current,Welding current (A),65.0,layer_partial.csv,5
Welding current_66.6667,66.667_26.000_3.000_3.000,66.6667,26.0,3.0,3.0,60.0,1,9.0291,2.3514,Welding current,Welding current (A),66.6667,layer_partial.csv,6
Welding current_68.3333,68.333_26.000_3.000_3.000,68.3333,26.0,3.0,3.0,60.0,1,8.9654,2.3696,Welding current,Welding current (A),68.3333,layer_partial.csv,7
Welding current_70.0,70.000_26.000_3.000_3.000,70.0,26.0,3.0,3.0,60.0,1,9.1398,2.3941,Welding current,Welding current (A),70.0,layer_partial.csv,8
Welding current_71.6667,71.667_26.000_3.000_3.000,71.6667,26.0,3.0,3.0,60.0,1,9.1348,2.4302,Welding current,Welding current (A),71.6667,layer_partial.csv,9
Welding current_73.3333,73.333_26.000_3.000_3.000,73.3333,26.0,3.0,3.0,60.0,1,9.2385,2.5033,Welding current,Welding current (A),73.3333,layer_partial.csv,10
Welding current_75.0,75.000_26.000_3.000_3.000,75.0,26.0,3.0,3.0,60.0,1,9.3439,2.5307,Welding current,Welding current (A),75.0,layer_partial.csv,11
Welding current_76.6667,76.667_26.000_3.000_3.000,76.6667,26.0,3.0,3.0,60.0,1,9.3388,2.539,Welding current,Welding current (A),76.6667,layer_partial.csv,12
Welding current_78.3333,78.333_26.000_3.000_3.000,78.3333,26.0,3.0,3.0,60.0,1,9.4428,2.592,Welding current,Welding current (A),78.3333,layer_partial.csv,13
Welding current_80.0,80.000_26.000_3.000_3.000,80.0,26.0,3.0,3.0,60.0,1,9.5772,2.6395,Welding current,Welding current (A),80.0,layer_partial.csv,14
Welding current_81.6667,81.667_26.000_3.000_3.000,81.6667,26.0,3.0,3.0,60.0,1,9.6298,2.6756,Welding current,Welding current (A),81.6667,layer_partial.csv,15
Welding current_83.3333,83.333_26.000_3.000_3.000,83.3333,26.0,3.0,3.0,60.0,1,9.7086,2.7596,Welding current,Welding current (A),83.3333,layer_partial.csv,16
Welding current_85.0,85.000_26.000_3.000_3.000,85.0,26.0,3.0,3.0,60.0,1,9.7715,2.7297,Welding current,Welding current (A),85.0,layer_partial.csv,17
Welding current_86.6667,86.667_26.000_3.000_3.000,86.6667,26.0,3.0,3.0,60.0,1,9.8322,2.8268,Welding current,Welding current (A),86.6667,layer_partial.csv,18
Welding current_88.3333,88.333_26.000_3.000_3.000,88.3333,26.0,3.0,3.0,60.0,1,9.9775,2.877,Welding current,Welding current (A),88.3333,layer_partial.csv,19
Welding current_90.0,90.000_26.000_3.000_3.000,90.0,26.0,3.0,3.0,60.0,1,10.0144,2.8986,Welding current,Welding current (A),90.0,layer_partial.csv,20
Welding current_91.6667,91.667_26.000_3.000_3.000,91.6667,26.0,3.0,3.0,60.0,1,10.1165,2.9496,Welding current,Welding current (A),91.6667,layer_partial.csv,21
Welding current_93.3333,93.333_26.000_3.000_3.000,93.3333,26.0,3.0,3.0,60.0,1,10.1447,2.9983,Welding current,Welding current (A),93.3333,layer_partial.csv,22
Welding current_95.0,95.000_26.000_3.000_3.000,95.0,26.0,3.0,3.0,60.0,1,10.2622,3.0302,Welding current,Welding current (A),95.0,layer_partial.csv,23
Welding current_96.6667,96.667_26.000_3.000_3.000,96.6667,26.0,3.0,3.0,60.0,1,10.3135,3.0638,Welding current,Welding current (A),96.6667,layer_partial.csv,24
Welding current_98.3333,98.333_26.000_3.000_3.000,98.3333,26.0,3.0,3.0,60.0,1,10.4179,3.1315,Welding current,Welding current (A),98.3333,layer_partial.csv,25
Welding current_100.0,100.000_26.000_3.000_3.000,100.0,26.0,3.0,3.0,60.0,1,10.4973,3.1662,Welding current,Welding current (A),100.0,layer_partial.csv,26
Welding current_60.0,60.000_26.000_3.000_3.000,60.0,26.0,3.0,3.0,60.0,2,8.8541,2.1879,Welding current,Welding current (A),60.0,layer_partial.csv,27
Welding current_61.6667,61.667_26.000_3.000_3.000,61.6667,26.0,3.0,3.0,60.0,2,8.8676,2.2192,Welding current,Welding current (A),61.6667,layer_partial.csv,28
Welding current_63.3333,63.333_26.000_3.000_3.000,63.3333,26.0,3.0,3.0,60.0,2,8.955,2.2428,Welding current,Welding current (A),63.3333,layer_partial.csv,29
Welding current_65.0,65.000_26.000_3.000_3.000,65.0,26.0,3.0,3.0,60.0,2,8.9817,2.3008,Welding current,Welding current (A),65.0,layer_partial.csv,30
Welding current_66.6667,66.667_26.000_3.000_3.000,66.6667,26.0,3.0,3.0,60.0,2,9.0634,2.2849,Welding current,Welding current (A),66.6667,layer_partial.csv,31
Welding current_68.3333,68.333_26.000_3.000_3.000,68.3333,26.0,3.0,3.0,60.0,2,9.0818,2.3448,Welding current,Welding current (A),68.3333,layer_partial.csv,32
Welding current_70.0,70.000_26.000_3.000_3.000,70.0,26.0,3.0,3.0,60.0,2,9.195,2.3818,Welding current,Welding current (A),70.0,layer_partial.csv,33
Welding current_71.6667,71.667_26.000_3.000_3.000,71.6667,26.0,3.0,3.0,60.0,2,9.238,2.4199,Welding current,Welding current (A),71.6667,layer_partial.csv,34
Welding current_73.3333,73.333_26.000_3.000_3.000,73.3333,26.0,3.0,3.0,60.0,2,9.3173,2.4732,Welding current,Welding current (A),73.3333,layer_partial.csv,35
Welding current_75.0,75.000_26.000_3.000_3.000,75.0,26.0,3.0,3.0,60.0,2,9.3697,2.495,Welding current,Welding current (A),75.0,layer_partial.csv,36
Welding current_76.6667,76.667_26.000_3.000_3.000,76.6667,26.0,3.0,3.0,60.0,2,9.4118,2.5344,Welding current,Welding current (A),76.6667,layer_partial.csv,37
Welding current_78.3333,78.333_26.000_3.000_3.000,78.3333,26.0,3.0,3.0,60.0,2,9.5306,2.5701,Welding current,Welding current (A),78.3333,layer_partial.csv,38
Welding current_80.0,80.000_26.000_3.000_3.000,80.0,26.0,3.0,3.0,60.0,2,9.5623,2.5993,Welding current,Welding current (A),80.0,layer_partial.csv,39
Welding current_81.6667,81.667_26.000_3.000_3.000,81.6667,26.0,3.0,3.0,60.0,2,9.655,2.6651,Welding current,Welding current (A),81.6667,layer_partial.csv,40
Welding current_83.3333,83.333_26.000_3.000_3.000,83.3333,26.0,3.0,3.0,60.0,2,9.7447,2.7099,Welding current,Welding current (A),83.3333,layer_partial.csv,41
Welding current_85.0,85.000_26.000_3.000_3.000,85.0,26.0,3.0,3.0,60.0,2,9.7858,2.7546,Welding current,Welding current (A),85.0,layer_partial.csv,42
Welding current_86.6667,86.667_26.000_3.000_3.000,86.6667,26.0,3.0,3.0,60.0,2,9.9127,2.791,Welding current,Welding current (A),86.6667,layer_partial.csv,43
Welding current_88.3333,88.333_26.000_3.000_3.000,88.3333,26.0,3.0,3.0,60.0,2,9.9323,2.8356,Welding current,Welding current (A),88.3333,layer_partial.csv,44
Welding current_90.0,90.000_26.000_3.000_3.000,90.0,26.0,3.0,3.0,60.0,2,10.0126,2.8912,Welding current,Welding current (A),90.0,layer_partial.csv,45
Welding current_91.6667,91.667_26.000_3.000_3.000,91.6667,26.0,3.0,3.0,60.0,2,10.1244,2.9248,Welding current,Welding current (A),91.6667,layer_partial.csv,46
Welding current_93.3333,93.333_26.000_3.000_3.000,93.3333,26.0,3.0,3.0,60.0,2,10.1653,2.9927,Welding current,Welding current (A),93.3333,layer_partial.csv,47
Welding current_95.0,95.000_26.000_3.000_3.000,95.0,26.0,3.0,3.0,60.0,2,10.2724,3.0137,Welding current,Welding current (A),95.0,layer_partial.csv,48
Welding current_96.6667,96.667_26.000_3.000_3.000,96.6667,26.0,3.0,3.0,60.0,2,10.3583,3.0625,Welding current,Welding current (A),96.6667,layer_partial.csv,49
