sample_id,group_id,current_A,speed_cm_min,frequency_Hz,amplitude_mm,cooling_s,width_mm,height_mm,source_file,source_row
multi_mean_1,95.857_29.738_2.181_3.318,95.8569,29.7376,2.1813,3.3178,0.0,13.8959,1.6496,multi_mean.csv,2
multi_mean_2,74.116_26.034_3.484_3.029,74.1161,26.0335,3.4838,3.0294,0.0,13.0726,1.5563,multi_mean.csv,3
multi_mean_3,73.078_23.392_2.081_1.245,73.0778,23.3923,2.0813,1.2448,0.0,7.2929,2.0795,multi_mean.csv,4
multi_mean_4,65.091_24.760_2.259_1.790,65.0913,24.7596,2.2594,1.7905,0.0,9.148,1.8048,multi_mean.csv,5
multi_mean_5,79.641_22.586_3.429_2.366,79.6413,22.5858,3.4289,2.3663,0.0,12.661,1.7632,multi_mean.csv,6
multi_mean_6,69.179_23.851_2.773_2.679,69.1793,23.8511,2.7735,2.6792,0.0,12.6473,1.6818,multi_mean.csv,7
multi_mean_7,66.842_28.662_3.032_2.884,66.8418,28.6616,3.0322,2.8843,0.0,12.2672,1.4763,multi_mean.csv,8
multi_mean_8,62.052_27.232_3.912_1.548,62.0517,27.232,3.9116,1.5475,0.0,8.0796,1.6532,multi_mean.csv,9
multi_mean_9,98.562_28.463_3.786_2.263,98.562,28.4629,3.7862,2.2631,0.0,12.795,1.6728,multi_mean.csv,10
multi_mean_10,81.949_22.091_2.284_3.621,81.9493,22.0908,2.284,3.6208,0.0,14.164,1.806,multi_mean.csv,11
multi_mean_11,64.243_22.430_2.510_2.938,64.2432,22.4298,2.5095,2.938,0.0,12.7445,1.7001,multi_mean.csv,12
multi_mean_12,99.818_25.441_3.977_3.149,99.8177,25.4411,3.9768,3.1486,0.0,14.8689,1.6995,multi_mean.csv,13
multi_mean_13,77.815_24.632_3.335_1.698,77.815,24.6322,3.3351,1.6976,0.0,9.5651,1.8191,multi_mean.csv,14
multi_mean_14,76.464_29.601_3.061_2.519,76.4638,29.6008,3.0612,2.5195,0.0,12.2874,1.5185,multi_mean.csv,15
multi_mean_15,62.738_24.333_3.280_3.532,62.7383,24.3334,3.2799,3.5323,0.0,13.192,1.5455,multi_mean.csv,16
multi_mean_16,82.784_29.948_3.860_1.174,82.7845,29.9478,3.86,1.1744,0.0,7.1427,1.8099,multi_mean.csv,17
multi_mean_17,80.876_28.722_2.238_2.239,80.8762,28.7216,2.2377,2.2386,0.0,11.2735,1.6761,multi_mean.csv,18
multi_mean_18,70.616_26.590_3.137_3.855,70.6159,26.5897,3.1373,3.855,0.0,13.5624,1.5143,multi_mean.csv,19
multi_mean_19,88.181_28.887_3.564_3.723,88.1806,28.8866,3.5645,3.7228,0.0,14.2412,1.5013,multi_mean.csv,20
multi_mean_20,80.672_22.169_3.119_1.642,80.6718,22.1685,3.1191,1.6422,0.0,9.6987,1.9457,multi_mean.csv,21
multi_mean_21,75.775_25.573_2.821_1.954,75.7747,25.5725,2.8205,1.9544,0.0,10.3567,1.7576,multi_mean.csv,22
multi_mean_22,71.990_26.863_3.940_1.984,71.9897,26.8633,3.9403,1.9838,0.0,10.2827,1.5996,multi_mean.csv,23
multi_mean_23,97.149_22.657_3.643_1.769,97.1488,22.6575,3.6433,1.7688,0.0,11.2028,1.9766,multi_mean.csv,24
multi_mean_24,87.246_27.314_3.374_1.020,87.2463,27.314,3.3744,1.0204,0.0,7.0427,2.0543,multi_mean.csv,25
multi_mean_25,96.363_24.413_2.151_3.064,96.3632,24.4132,2.1507,3.064,0.0,14.2467,1.8678,multi_mean.csv,26
multi_mean_26,90.549_23.258_3.175_1.216,90.5486,23.2584,3.1754,1.2158,0.0,8.4071,2.1314,multi_mean.csv,27
multi_mean_27,76.987_22.949_2.656_2.569,76.9872,22.9492,2.6557,2.5686,0.0,12.9809,1.7751,multi_mean.csv,28
multi_mean_28,83.497_25.789_3.454_3.920,83.4973,25.7886,3.4538,3.9197,0.0,14.4671,1.5882,multi_mean.csv,29
multi_mean_29,72.265_23.579_2.909_3.998,72.2651,23.5795,2.9088,3.998,0.0,14.0464,1.6356,multi_mean.csv,30
multi_mean_30,92.733_25.271_3.751_1.389,92.7329,25.2712,3.7507,1.3891,0.0,9.0948,1.9637,multi_mean.csv,31
multi_mean_31,63.472_28.259_2.986_3.501,63.4723,28.259,2.9858,3.501,0.0,12.7269,1.4492,multi_mean.csv,32
multi_mean_32,86.949_29.181_2.574_3.651,86.9491,29.1811,2.5735,3.6508,0.0,13.8696,1.5699,multi_mean.csv,33
multi_mean_33,94.822_27.511_3.202_3.178,94.8216,27.5107,3.2017,3.178,0.0,14.2479,1.6505,multi_mean.csv,34
multi_mean_34,85.804_27.618_2.951_1.321,85.804,27.6177,2.9514,1.321,0.0,8.0793,1.9198,multi_mean.csv,35
multi_mean_35,97.826_27.945_3.706_3.359,97.8261,27.9452,3.7062,3.3586,0.0,14.6456,1.6033,multi_mean.csv,36
