sample_id,group_id,current_A,speed_cm_min,frequency_Hz,amplitude_mm,width_mm,height_mm,source_file,source_row
single_factor_1,60.000_26.000_3.000_2.500,60.0,26.0,3.0,2.5,8.77,2.25,single_factor.csv,2
single_factor_2,61.667_26.000_3.000_2.500,61.667,26.0,3.0,2.5,8.932,2.265,single_factor.csv,3
single_factor_3,63.333_26.000_3.000_2.500,63.333,26.0,3.0,2.5,9.053,2.274,single_factor.csv,4
single_factor_4,65.000_26.000_3.000_2.500,65.0,26.0,3.0,2.5,9.17,2.298,single_factor.csv,5
single_factor_5,66.667_26.000_3.000_2.500,66.667,26.0,3.0,2.5,9.319,2.323,single_factor.csv,6
single_factor_6,68.333_26.000_3.000_2.500,68.333,26.0,3.0,2.5,9.415,2.338,single_factor.csv,7
single_factor_7,70.000_26.000_3.000_2.500,70.0,26.0,3.0,2.5,9.541,2.357,single_factor.csv,8
single_factor_8,71.667_26.000_3.000_2.500,71.667,26.0,3.0,2.5,9.685,2.388,single_factor.csv,9
single_factor_9,73.333_26.000_3.000_2.500,73.333,26.0,3.0,2.5,9.765,2.429,single_factor.csv,10
single_factor_10,75.000_26.000_3.000_2.500,75.0,26.0,3.0,2.5,9.864,2.433,single_factor.csv,11
single_factor_11,76.667_26.000_3.000_2.500,76.667,26.0,3.0,2.5,9.949,2.449,single_factor.csv,12
single_factor_12,78.333_26.000_3.000_2.500,78.333,26.0,3.0,2.5,10.005,2.478,single_factor.csv,13
single_factor_13,80.000_26.000_3.000_2.500,80.0,26.0,3.0,2.5,10.06,2.53,single_factor.csv,14
single_factor_14,81.667_26.000_3.000_2.500,81.667,26.0,3.0,2.5,10.126,2.573,single_factor.csv,15
single_factor_15,83.333_26.000_3.000_2.500,83.333,26.0,3.0,2.5,10.168,2.594,single_factor.csv,16
single_factor_16,85.000_26.000_3.000_2.500,85.0,26.0,3.0,2.5,10.208,2.641,single_factor.csv,17
single_factor_17,86.667_26.000_3.000_2.500,86.667,26.0,3.0,2.5,10.244,2.686,single_factor.csv,18
single_factor_18,88.333_26.000_3.000_2.500,88.333,26.0,3.0,2.5,10.339,2.745,single_factor.csv,19
single_factor_19,90.000_26.000_3.000_2.500,90.0,26.0,3.0,2.5,10.336,2.79,single_factor.csv,20
single_factor_20,91.667_26.000_3.000_2.500,91.667,26.0,3.0,2.5,10.392,2.842,single_factor.csv,21
single_factor_21,93.333_26.000_3.000_2.500,93.333,26.0,3.0,2.5,10.438,2.87,single_factor.csv,22
single_factor_22,95.000_26.000_3.000_2.500,95.0,26.0,3.0,2.5,10.464,2.959,single_factor.csv,23
single_factor_23,96.667_26.000_3.000_2.500,96.667,26.0,3.0,2.5,10.488,3.019,single_factor.csv,24
single_factor_24,98.333_26.000_3.000_2.500,98.333,26.0,3.0,2.5,10.489,3.074,single_factor.csv,25
single_factor_25,100.000_26.000_3.000_2.500,100.0,26.0,3.0,2.5,10.49,3.14,single_factor.csv,26
single_factor_26,80.000_22.000_3.000_2.500,80.0,22.0,3.0,2.5,10.11,2.95,single_factor.csv,27
single_factor_27,80.000_22.333_3.000_2.500,80.0,22.333,3.0,2.5,10.104,2.884,single_factor.csv,28
single_factor_28,80.000_22.667_3.000_2.500,80.0,22.667,3.0,2.5,10.106,2.844,single_factor.csv,29
single_factor_29,80.000_23.000_3.000_2.500,80.0,23.0,3.0,2.5,10.11,2.791,single_factor.csv,30
single_factor_30,80.000_23.333_3.000_2.500,80.0,23.333,3.0,2.5,10.1,2.757,single_factor.csv,31
single_factor_31,80.000_23.667_3.000_2.500,80.0,23.667,3.0,2.5,10.1,2.719,single_factor.csv,32
single_factor_32,80.000_24.000_3.000_2.500,80.0,24.0,3.0,2.5,10.09,2.668,single_factor.csv,33
single_factor_33,80.000_24.333_3.000_2.500,80.0,24.333,3.0,2.5,10.091,2.643,single_factor.csv,34
single_factor_34,80.000_24.667_3.000_2.500,80.0,24.667,3.0,2.5,10.093,2.602,single_factor.csv,35
single_factor_35,80.000_25.000_3.000_2.500,80.0,25.0,3.0,2.5,10.078,2.586,single_factor.csv,36
single_factor_36,80.000_25.333_3.000_2.500,80.0,25.333,3.0,2.5,10.066,2.553,single_factor.csv,37
single_factor_37,80.000_25.667_3.000_2.500,80.0,25.667,3.0,2.5,10.051,2.551,single_factor.csv,38
single_factor_38,80.000_26.000_3.000_2.500,80.0,26.0,3.0,2.5,10.06,2.53,single_factor.csv,39
single_factor_39,80.000_26.333_3.000_2.500,80.0,26.333,3.0,2.5,10.054,2.523,single_factor.csv,40
single_factor_40,80.000_26.667_3.000_2.500,80.0,26.667,3.0,2.5,10.04,2.52,single_factor.csv,41
single_factor_41,80.000_27.000_3.000_2.500,80.0,27.0,3.0,2.5,10.045,2.524,single_factor.csv,42
single_factor_42,80.000_27.333_3.000_2.500,80.0,27.333,3.0,2.5,10.006,2.498,single_factor.csv,43
single_factor_43,80.000_27.667_3.000_2.500,80.0,27.667,3.0,2.5,10.001,2.495,single_factor.csv,44
single_factor_44,80.000_28.000_3.000_2.500,80.0,28.0,3.0,2.5,9.971,2.493,single_factor.csv,45
single_factor_45,80.000_28.333_3.000_2.500,80.0,28.333,3.0,2.5,9.97,2.49,single_factor.csv,46
single_factor_46,80.000_28.667_3.000_2.500,80.0,28.667,3.0,2.5,9.943,2.477,single_factor.csv,47
single_factor_47,80.000_29.000_3.000_2.500,80.0,29.0,3.0,2.5,9.925,2.492,single_factor.csv,48
single_factor_48,80.000_29.333_3.000_2.500,80.0,29.333,3.0,2.5,9.891,2.475,single_factor.csv,49
single_factor_49,80.000_29.667_3.000_2.500,80.0,29.667,3.0,2.5,9.872,2.47,single_factor.csv,50
single_factor_50,80.000_30.000_3.000_2.500,80.0,30.0,3.0,2.5,9.85,2.47,single_factor.csv,51
single_factor_51,80.000_26.000_2.000_2.500,80.0,26.0,2.0,2.5,9.99,2.73,single_factor.csv,52
