序号,分析因素,层号,X变量,X值,宽度(mm),高度(mm)
1,Welding current,1,Welding current (A),60.0,8.8175,2.2497
2,Welding current,1,Welding current (A),61.6667,8.8522,2.246
3,Welding current,1,Welding current (A),63.3333,8.8758,2.2685
4,Welding current,1,Welding current (A),65.0,8.9142,2.2918
5,Welding current,1,Welding current (A),66.6667,9.0291,2.3514
6,Welding current,1,Welding current (A),68.3333,8.9654,2.3696
7,Welding current,1,Welding current (A),70.0,9.1398,2.3941
8,Welding current,1,Welding current (A),71.6667,9.1348,2.4302
9,Welding current,1,Welding current (A),73.3333,9.2385,2.5033
10,Welding current,1,Welding current (A),75.0,9.3439,2.5307
11,Welding current,1,Welding current (A),76.6667,9.3388,2.539
12,Welding current,1,Welding current (A),78.3333,9.4428,2.592
13,Welding current,1,Welding current (A),80.0,9.5772,2.6395
14,Welding current,1,Welding current (A),81.6667,9.6298,2.6756
15,Welding current,1,Welding current (A),83.3333,9.7086,2.7596
16,Welding current,1,Welding current (A),85.0,9.7715,2.7297
17,Welding current,1,Welding current (A),86.6667,9.8322,2.8268
18,Welding current,1,Welding current (A),88.3333,9.9775,2.877
19,Welding current,1,Welding current (A),90.0,10.0144,2.8986
20,Welding current,1,Welding current (A),91.6667,10.1165,2.9496
21,Welding current,1,Welding current (A),93.3333,10.1447,2.9983
22,Welding current,1,Welding current (A),95.0,10.2622,3.0302
23,Welding current,1,Welding current (A),96.6667,10.3135,3.0638
24,Welding current,1,Welding current (A),98.3333,10.4179,3.1315
25,Welding current,1,Welding current (A),100.0,10.4973,3.1662
26,Welding current,2,Welding current (A),60.0,8.8541,2.1879
27,Welding current,2,Welding current (A),61.6667,8.8676,2.2192
28,Welding current,2,Welding current (A),63.3333,8.955,2.2428
29,Welding current,2,Welding current (A),65.0,8.9817,2.3008
30,Welding current,2,Welding current (A),66.6667,9.0634,2.2849
31,Welding current,2,Welding current (A),68.3333,9.0818,2.3448
32,Welding current,2,Welding current (A),70.0,9.195,2.3818
33,Welding current,2,Welding current (A),71.6667,9.238,2.4199
34,Welding current,2,Welding current (A),73.3333,9.3173,2.4732
35,Welding current,2,Welding current (A),75.0,9.3697,2.495
36,Welding current,2,Welding current (A),76.6667,9.4118,2.5344
37,Welding current,2,Welding current (A),78.3333,9.5306,2.5701
38,Welding current,2,Welding current (A),80.0,9.5623,2.5993
39,Welding current,2,Welding current (A),81.6667,9.655,2.6651
40,Welding current,2,Welding current (A),83.3333,9.7447,2.7099
41,Welding current,2,Welding current (A),85.0,9.7858,2.7546
42,Welding current,2,Welding current (A),86.6667,9.9127,2.791
43,Welding current,2,Welding current (A),88.3333,9.9323,2.8356
44,Welding current,2,Welding current (A),90.0,10.0126,2.8912
45,Welding current,2,Welding current (A),91.6667,10.1244,2.9248
46,Welding current,2,Welding current (A),93.3333,10.1653,2.9927
47,Welding current,2,Welding current (A),95.0,10.2724,3.0137
48,Welding current,2,Welding current (A),96.6667,10.3583,3.0625
49,Welding current,2,Welding current (A),98.3333,10.464,3.1171
50,Welding current,2,Welding current (A),100.0,10.5426,3.1518
51,Welding current,3,Welding current (A),60.0,8.8538,2.178
52,Welding current,3,Welding current (A),61.6667,8.914,2.2075
