序号,焊接电流(A),焊接速度(cm/min),摆动频率(Hz),摆动幅度(mm),冷却时间(s),平均宽度(mm),平均高度(mm)
1,95.8569,29.7376,2.1813,3.3178,0,13.8959,1.6496
2,74.1161,26.0335,3.4838,3.0294,0,13.0726,1.5563
3,73.0778,23.3923,2.0813,1.2448,0,7.2929,2.0795
4,65.0913,24.7596,2.2594,1.7905,0,9.148,1.8048
5,79.6413,22.5858,3.4289,2.3663,0,12.661,1.7632
6,69.1793,23.8511,2.7735,2.6792,0,12.6473,1.6818
7,66.8418,28.6616,3.0322,2.8843,0,12.2672,1.4763
8,62.0517,27.232,3.9116,1.5475,0,8.0796,1.6532
9,98.562,28.4629,3.7862,2.2631,0,12.795,1.6728
10,81.9493,22.0908,2.284,3.6208,0,14.164,1.806
11,64.2432,22.4298,2.5095,2.938,0,12.7445,1.7001
12,99.8177,25.4411,3.9768,3.1486,0,14.8689,1.6995
13,77.815,24.6322,3.3351,1.6976,0,9.5651,1.8191
14,76.4638,29.6008,3.0612,2.5195,0,12.2874,1.5185
15,62.7383,24.3334,3.2799,3.5323,0,13.192,1.5455
16,82.7845,29.9478,3.86,1.1744,0,7.1427,1.8099
17,80.8762,28.7216,2.2377,2.2386,0,11.2735,1.6761
18,70.6159,26.5897,3.1373,3.855,0,13.5624,1.5143
19,88.1806,28.8866,3.5645,3.7228,0,14.2412,1.5013
20,80.6718,22.1685,3.1191,1.6422,0,9.6987,1.9457
21,75.7747,25.5725,2.8205,1.9544,0,10.3567,1.7576
22,71.9897,26.8633,3.9403,1.9838,0,10.2827,1.5996
23,97.1488,22.6575,3.6433,1.7688,0,11.2028,1.9766
24,87.2463,27.314,3.3744,1.0204,0,7.0427,2.0543
25,96.3632,24.4132,2.1507,3.064,0,14.2467,1.8678
26,90.5486,23.2584,3.1754,1.2158,0,8.4071,2.1314
27,76.9872,22.9492,2.6557,2.5686,0,12.9809,1.7751
28,83.4973,25.7886,3.4538,3.9197,0,14.4671,1.5882
29,72.2651,23.5795,2.9088,3.998,0,14.0464,1.6356
30,92.7329,25.2712,3.7507,1.3891,0,9.0948,1.9637
31,63.4723,28.259,2.9858,3.501,0,12.7269,1.4492
32,86.9491,29.1811,2.5735,3.6508,0,13.8696,1.5699
33,94.8216,27.5107,3.2017,3.178,0,14.2479,1.6505
34,85.804,27.6177,2.9514,1.321,0,8.0793,1.9198
35,97.8261,27.9452,3.7062,3.3586,0,14.6456,1.6033
36,60.3165,26.2545,3.8359,1.8788,0,9.5002,1.5982
37,92.8292,28.2054,2.8755,2.058,0,11.4711,1.7483
