序号,焊接电流 (A),焊接速度(cm/min),摆动频率 (Hz),摆动幅度 (mm),宽度 (mm),高度 (mm),变化因素
1,60.0,26.0,3.0,2.5,8.77,2.25,焊接电流
2,61.667,26.0,3.0,2.5,8.932,2.265,焊接电流
3,63.333,26.0,3.0,2.5,9.053,2.274,焊接电流
4,65.0,26.0,3.0,2.5,9.17,2.298,焊接电流
5,66.667,26.0,3.0,2.5,9.319,2.323,焊接电流
6,68.333,26.0,3.0,2.5,9.415,2.338,焊接电流
7,70.0,26.0,3.0,2.5,9.541,2.357,焊接电流
8,71.667,26.0,3.0,2.5,9.685,2.388,焊接电流
9,73.333,26.0,3.0,2.5,9.765,2.429,焊接电流
10,75.0,26.0,3.0,2.5,9.864,2.433,焊接电流
11,76.667,26.0,3.0,2.5,9.949,2.449,焊接电流
12,78.333,26.0,3.0,2.5,10.005,2.478,焊接电流
13,80.0,26.0,3.0,2.5,10.06,2.53,焊接电流
14,81.667,26.0,3.0,2.5,10.126,2.573,焊接电流
15,83.333,26.0,3.0,2.5,10.168,2.594,焊接电流
16,85.0,26.0,3.0,2.5,10.208,2.641,焊接电流
17,86.667,26.0,3.0,2.5,10.244,2.686,焊接电流
18,88.333,26.0,3.0,2.5,10.339,2.745,焊接电流
19,90.0,26.0,3.0,2.5,10.336,2.79,焊接电流
20,91.667,26.0,3.0,2.5,10.392,2.842,焊接电流
21,93.333,26.0,3.0,2.5,10.438,2.87,焊接电流
22,95.0,26.0,3.0,2.5,10.464,2.959,焊接电流
23,96.667,26.0,3.0,2.5,10.488,3.019,焊接电流
24,98.333,26.0,3.0,2.5,10.489,3.074,焊接电流
25,100.0,26.0,3.0,2.5,10.49,3.14,焊接电流
26,80.0,22.0,3.0,2.5,10.11,2.95,焊接速度
27,80.0,22.333,3.0,2.5,10.104,2.884,焊接速度
28,80.0,22.667,3.0,2.5,10.106,2.844,焊接速度
29,80.0,23.0,3.0,2.5,10.11,2.791,焊接速度
30,80.0,23.333,3.0,2.5,10.1,2.757,焊接速度
31,80.0,23.667,3.0,2.5,10.1,2.719,焊接速度
32,80.0,24.0,3.0,2.5,10.09,2.668,焊接速度
33,80.0,24.333,3.0,2.5,10.091,2.643,焊接速度
34,80.0,24.667,3.0,2.5,10.093,2.602,焊接速度
35,80.0,25.0,3.0,2.5,10.078,2.586,焊接速度
36,80.0,25.333,3.0,2.5,10.066,2.553,焊接速度
37,80.0,25.667,3.0,2.5,10.051,2.551,焊接速度
38,80.0,26.0,3.0,2.5,10.06,2.53,焊接速度
39,80.0,26.333,3.0,2.5,10.054,2.523,焊接速度
40,80.0,26.667,3.0,2.5,10.04,2.52,焊接速度
41,80.0,27.0,3.0,2.5,10.045,2.524,焊接速度
42,80.0,27.333,3.0,2.5,10.006,2.498,焊接速度
