序号,焊接电流 (A),焊接速度(cm/min),摆动频率 (Hz),摆动幅度 (mm),宽度 (mm),高度 (mm)
1,80.0,26.0,3.0,2.5,10.06,2.53
2,91.4,27.0,2.97,3.985,12.711,2.384
3,67.0,29.4,3.77,1.825,7.972,2.596
4,98.6,27.88,3.73,1.645,8.039,3.119
5,73.4,25.4,2.65,1.375,7.145,3.066
6,90.2,24.52,3.33,3.925,12.672,2.383
7,66.6,29.56,3.27,2.275,9.069,2.411
8,83.0,23.32,3.97,3.385,11.591,2.408
9,96.6,24.84,3.41,3.505,11.953,2.51
10,99.0,28.2,3.29,2.005,8.888,2.962
11,79.8,29.32,2.67,1.915,8.462,2.741
12,70.2,24.68,2.11,2.635,9.983,2.538
13,90.6,22.68,3.87,3.475,11.896,2.526
14,75.0,26.6,3.71,3.415,11.379,2.225
15,74.6,25.8,2.77,2.575,10.065,2.489
16,81.8,29.96,2.83,3.595,11.675,2.295
17,79.4,23.96,2.79,1.315,7.145,3.223
18,98.2,23.0,2.53,3.685,12.263,2.706
19,87.8,25.16,2.81,2.485,10.123,2.681
20,93.8,24.6,3.19,1.885,8.632,2.994
21,89.8,28.52,2.85,2.995,10.844,2.504
22,63.8,27.16,3.57,3.325,10.834,2.13
23,75.4,26.12,3.23,3.295,11.184,2.223
24,68.2,28.6,2.39,1.075,6.268,3.185
25,95.8,27.24,2.25,2.935,10.861,2.699
26,72.6,25.88,3.45,3.355,11.254,2.228
27,92.6,25.32,2.45,2.605,10.344,2.733
28,97.0,23.88,3.75,2.185,9.462,2.935
29,87.0,22.6,2.93,2.155,9.278,2.949
30,87.4,26.44,2.55,2.695,10.441,2.604
31,93.4,26.36,2.87,1.195,6.96,3.438
32,94.2,22.76,3.53,2.425,10.111,2.867
33,72.2,29.48,2.99,2.305,9.288,2.468
34,99.8,27.96,2.27,3.235,11.324,2.709
35,91.0,28.28,2.59,1.945,8.687,2.932
36,60.6,27.64,3.69,3.835,11.609,2.051
37,89.0,27.72,2.35,1.525,7.637,3.149
38,81.4,29.72,2.13,3.055,10.756,2.438
39,73.8,25.72,3.95,1.105,6.627,3.129
40,92.2,25.56,2.05,3.655,12.074,2.508
41,97.8,28.36,3.63,2.395,9.936,2.756
42,97.4,26.2,3.15,3.775,12.431,2.483
43,67.4,29.88,2.61,3.625,11.326,2.18
44,81.0,27.56,2.71,2.845,10.507,2.444
45,96.2,22.28,3.55,2.545,10.361,2.905
46,65.0,27.08,2.19,1.285,6.703,3.057
47,61.0,22.44,3.13,1.585,7.281,3.022
48,88.2,22.36,3.35,3.205,11.318,2.634
49,77.8,23.72,3.31,1.615,7.801,3.004
50,76.6,28.44,2.31,2.515,9.913,2.532
51,71.8,24.2,3.37,2.245,9.26,2.579
52,82.2,29.64,3.51,3.085,10.854,2.321
53,67.8,26.92,2.47,2.965,10.383,2.334
54,86.2,27.4,2.17,3.115,11.015,2.505
55,99.4,24.76,3.67,3.715,12.324,2.53
56,95.4,23.56,2.95,3.565,12.028,2.578
57,83.4,29.24,3.11,1.855,8.343,2.8
58,64.2,26.76,3.17,3.895,11.883,2.102
59,62.2,25.24,3.21,2.035,8.381,2.58
60,86.6,25.64,2.07,1.045,6.511,3.491
61,85.0,27.48,3.07,1.675,7.996,2.928
62,89.4,22.52,2.37,3.745,12.273,2.613
63,91.8,24.36,2.69,2.815,10.696,2.687
64,69.4,22.92,3.85,1.555,7.524,2.965
65,65.4,26.52,2.57,2.065,8.538,2.598
66,61.4,23.24,2.03,1.345,6.713,3.211
67,62.6,24.04,3.99,2.665,9.883,2.38
68,88.6,26.04,2.89,1.135,6.787,3.361
69,94.6,23.48,2.73,3.535,11.95,2.64
70,84.6,29.0,3.89,2.365,9.722,2.533
71,71.4,28.68,2.01,3.865,11.969,2.254
72,60.2,25.48,2.63,3.445,10.877,2.211
73,83.8,25.96,2.09,2.125,9.076,2.78
74,61.8,23.8,3.25,2.335,9.159,2.55
75,63.0,22.04,3.81,2.455,9.567,2.621
76,79.0,25.0,2.15,1.765,8.156,2.955
77,85.8,23.64,3.61,2.875,10.74,2.55
78,69.0,24.28,2.21,2.785,10.17,2.512
79,71.0,27.8,3.05,3.805,11.926,2.178
80,66.2,28.04,2.51,1.735,7.742,2.731
81,64.6,28.84,2.29,3.265,10.665,2.245
82,77.0,23.16,2.41,2.725,10.33,2.644
83,82.6,24.92,3.59,1.705,8.111,2.896
84,65.8,27.32,3.91,3.145,10.672,2.144
85,63.4,24.12,3.39,3.025,10.386,2.334
86,73.0,22.12,3.49,1.795,8.173,2.942
87,95.0,29.08,3.09,3.955,12.639,2.431
88,75.8,22.2,2.49,2.905,10.594,2.667
89,84.2,28.12,3.65,1.495,7.573,2.965
90,70.6,24.44,3.79,2.095,8.905,2.599
91,85.4,28.92,2.23,1.255,6.953,3.273
92,68.6,26.68,2.91,2.215,9.076,2.507
93,77.4,26.84,2.43,1.975,8.647,2.742
94,78.6,26.28,3.03,1.465,7.434,2.984
95,80.2,23.4,3.01,1.165,6.802,3.343
96,80.6,29.8,3.43,1.405,7.278,2.983
97,69.8,28.76,3.83,1.015,6.252,3.137
98,76.2,23.08,3.93,1.435,7.419,3.108
99,74.2,29.16,2.75,1.225,6.759,3.079
100,78.2,25.08,2.33,3.175,11.041,2.421
